title,publisher,h_index,thematic_scope,issn,quartile_category,quartile_year,quartile,sjr_year,sjr_score,impact_factor_year,impact_factor_score
Radiation and Environmental Biophysics,Springer New York,58,"This journal is devoted to fundamental and applied issues in radiation research and biophysics. The topics may include:

Biophysics of ionizing radiation: radiation physics and chemistry, radiation dosimetry, radiobiology, radioecology, biophysical foundations of medical applications of radiation, and radiation protection.

Biological effects of radiation: experimental or theoretical work on molecular or cellular effects; relevance of biological effects for risk assessment; biological effects of medical applications of radiation; relevance of radiation for biosphere and in space; modelling of ecosystems; modelling of transport processes of substances in biotic systems.

Risk assessment: epidemiological studies of cancer and non-cancer effects; quantification of risk including exposures to radiation and confounding factors

Contributions to these topics may include theoretical-mathematical and experimental material, as well as description of new techniques relevant for the study of these issues. They can range from complex radiobiological phenomena to issues in health physics and environmental protection.",0301-0163,Radiation,2023,Q2,2023,0.434,2023,1.526
Central-European Journal of Immunology,Termedia Publishing House Ltd.,34,Central European Journal of Immunology is a English-language quarterly aimed mainly at immunologists.,1426-3912,Immunology and Allergy,2023,Q3,2023,0.456,2023,1.546
Nephrology Dialysis Transplantation,Oxford University Press,197,"NDT – Basic and Clinical Science is an official publication of the European Renal Association-European Dialysis and Transplant Association. NDT publishes Editorials, Reviews and original research. Special Report: working group papers, position statements, guidelines papers (on invitation only), NDT Digest (on invitation only) and (only) online E-letters to the Editor commenting on papers previously published in the journal are also considered. The journal covers the whole territory of nephrology research including experimental work in animal models and molecular biology studies. In the Clinical Science section we consider clinical trials (RCT have a priority in our journal), observational studies at large and original works on health economy as applied to nephrology. We aim to cover the whole spectrum of kidney disease research, from clinical nephrology to haemodialysis and peritoneal dialysis as well as renal transplantation.",0931-0509,Transplantation,2023,Q1,2023,1.414,2023,3.823
EXCLI Journal,Leibniz Research Centre for Working Environment and Human Factors,55,"EXCLI Journal publishes original research reports, authoritative reviews and case reports of experimental and clinical sciences.

The journal is particularly keen to keep a broad view of science and technology, and therefore welcomes papers which bridge disciplines and may not suit the narrow specialism of other journals. Although the general emphasis is on biological sciences, studies from the following fields are explicitly encouraged (alphabetical order):

aging research, behavioral sciences, biochemistry, cell biology, chemistry including analytical chemistry, clinical and preclinical studies, drug development, environmental health, ergonomics, forensic medicine, genetics, hepatology and gastroenterology, immunology, neurosciences, occupational medicine, oncology and cancer research, pharmacology, proteomics, psychiatric research, psychology, systems biology, toxicology",1611-2156,Pharmacology,2023,Q2,2023,0.853,2023,3.132
Journal of Functional Foods,Elsevier Ltd,125,"Journal of Functional Foods continues with the same aims and scope, editorial team, submission system and rigorous peer review. We give authors the possibility to publish their top-quality papers in a well-established leading journal in the food and nutrition fields. The Journal will keep its rigorous criteria to screen high impact research addressing relevant scientific topics and performed by sound methodologies.

The Journal of Functional Foods aims to bring together the results of fundamental and applied research into healthy foods and biologically active food ingredients.
The Journal is centered in the specific area at the boundaries among food technology, nutrition and health welcoming papers having a good interdisciplinary approach. The Journal will cover the fields of plant bioactives; dietary fibre, probiotics; functional lipids; bioactive peptides; vitamins, minerals and botanicals and other dietary supplements. Nutritional and technological aspects related to the development of functional foods and beverages are of core interest to the journal. Experimental works dealing with food digestion, bioavailability of food bioactives and on the mechanisms by which foods and their components are able to modulate physiological parameters connected with disease prevention are of particular interest as well as those dealing with personalized nutrition and nutritional needs in pathological subjects.",1756-4646,Nutrition and Dietetics,2023,Q2,2023,0.900,2023,4.214
Journal of Solid State Chemistry,Academic Press Inc.,160,"Covering major developments in the field of solid state chemistry and related areas such as ceramics and amorphous materials, the Journal of Solid State Chemistry features studies of chemical, structural, thermodynamic, electronic, magnetic, and optical properties and processes in solids.",0022-4596,Physical and Theoretical Chemistry,2023,Q2,2023,0.600,2023,3.313
Journal of Gastrointestinal Surgery,Society for Surgery of the Alimentary Tract,145,"The Journal of Gastrointestinal Surgery is a scholarly, peer-reviewed journal designed to furnish the surgeon with the latest developments in gastrointestinal surgery. Published twelve times per year, the Journal includes Editorial Columns, the SSAT Presidential Address, articles by a guest orator, symposia, subject reviews, book reports, gastrointestinal images, ""How I Do It"" articles, letters to the editor, results of conferences and original scientific articles relevant to surgery of the digestive tract. The Journal is the official publication of the Society for Surgery of the Alimentary Tract. The Journal serves as an outstanding forum for continuing education in surgery and diseases of the gastrointestinal tract.",1091-255X,Surgery,2023,Q1,2023,0.941,2023,2.136
Solid State Ionics,Elsevier B.V.,214,"This interdisciplinary journal is devoted to the physics, chemistry and materials science of diffusion, mass transport, and reactivity of solids. The major part of each issue is devoted to articles on:

(i) physics and chemistry of defects in solids;
(ii) reactions in and on solids, e.g. intercalation, corrosion, oxidation, sintering;
(iii) ion transport measurements, mechanisms and theory;
(iv) solid state electrochemistry;
(v) ionically-electronically mixed conducting solids.
Related technological applications are also included, provided their characteristics are interpreted in terms of the basic solid state properties.

Review papers and relevant symposium proceedings are welcome.",0167-2738,Materials Science (miscellaneous),2023,Q2,2023,0.674,2023,3.056
International Journal of Food Microbiology,Elsevier B.V.,219,"The International Journal of Food Microbiology publishes papers dealing with all aspects of food microbiology. Articles must present information that is novel, has high impact and interest, and is of high scientific quality. They should provide scientific or technological advancement in the specific field of interest of the journal and enhance its strong international reputation. Preliminary or confirmatory results as well as contributions not strictly related to food microbiology will not be considered for publication.

Full-length original research papers, review articles and book reviews in the fields of bacteriology, mycology, virology, parasitology, and immunology as they relate to the production, processing, service and consumption of foods and beverages are welcomed. Within this scope, topics of specific interest include: (1) incidence and types of food and beverage microorganisms, microbial interactions, microbial ecology of foods, intrinsic and extrinsic factors affecting microbial survival and growth in foods, and food spoilage; (2) microorganisms involved in food and beverage fermentations (including probiotics and starter cultures); (3) food safety, indices of the sanitary quality of foods, microbiological quality assurance, biocontrol, microbiological aspects of food preservation and novel preservation techniques, predictive microbiology and microbial risk assessment; (4) foodborne microorganisms of public health significance, and microbiological aspects of foodborne diseases of microbial origin; (5) methods for microbiological and immunological examinations of foods, as well as rapid, automated and molecular methods when validated in food systems; and (6) the biochemistry, physiology and molecular biology of microorganisms as they directly relate to food spoilage, foodborne disease and food fermentations.",0168-1605,"Safety, Risk, Reliability and Quality",2023,Q1,2023,1.026,2023,5.704
Digestive Diseases and Sciences,Springer New York,140,"Digestive Diseases and Sciences publishes high-quality, peer-reviewed, original papers addressing aspects of basic/translational and clinical research in gastroenterology, hepatology, and related fields. This well-illustrated journal features comprehensive coverage of basic pathophysiology, new technological advances, and clinical breakthroughs; insights from prominent academicians and practitioners concerning new scientific developments and practical medical issues; and discussions focusing on the latest changes in local and worldwide social, economic, and governmental policies that affect the delivery of care within the disciplines of gastroenterology and hepatology.",0163-2116,Physiology,2023,Q1,2023,1.068,2023,2.424
Gastroenterology,W.B. Saunders,466,"Gastroenterology is the most prominent journal in the field of gastrointestinal disease. As the official journal of the AGA Institute, Gastroenterology delivers up-to-date and authoritative coverage of both basic and clinical gastroenterology. Regular features include articles by leading authorities and reports on the latest treatments for diseases. Original research is organized by clinical and basic-translational content, as well as by alimentary tract, liver, pancreas, and biliary content.

Gastroenterology also bridges the gap between basic and clinical science by publishing comprehensive reviews and perspectives on important topics such as pancreatitis and liver disease. Additional features include Covering the Cover; Mentoring, Training, and Education Corner; Press Highlights; Imaging and Advanced Technology; Clinical Challenges and Images in GI; Selected Summaries; Print and Digital Media Reviews; Continuing Medical Education Activities; Editorials; and Correspondence. Multimedia offerings include images, video abstracts, and podcasts.",0016-5085,Hepatology,2023,Q1,2023,7.362,2023,7.645
American Journal of Surgery,Elsevier Inc.,169,"The American Journal of Surgery® is a peer-reviewed journal designed for the general surgeon who performs abdominal, cancer, vascular, head and neck, breast, colorectal, and other forms of surgery. AJS is the official journal of 7 major surgical societies* and publishes their official papers as well as independently submitted clinical studies, editorials, reviews, brief reports, correspondence and book reviews.

* The American Journal of Surgery® is the Official Publication of:

The Southwestern Surgical Congress
The North Pacific Surgical Association
The Association for Surgical Education
The Association of Women Surgeons
Midwest Surgical Association
The Society of Black Academic Surgeons (SBAS).",0002-9610,Surgery,2023,Q1,2023,0.897,2023,1.972
American Journal of Gastroenterology,Springer Nature,286,"AJG is published on behalf of the American College of Gastroenterology (ACG). As the leading clinical journal covering gastroenterology and hepatology, The American Journal of Gastroenterology (AJG) provides practical and professional support for clinicians dealing with the gastroenterological disorders seen most often in patients.
Topics include:

-Colon and Small Bowel-
Endoscopy-
Esophagus-
Functional GI Disorders-
Inflammatory Bowel Disease-
Liver-
Pancreas and Biliary Tract-
Pathology-
Pediatrics-
Nutrition/Obesity-
Stomach.

AJG devotes itself to publishing timely medical research in gastroenterology and hepatology with:

-Original Research Articles-
Review Articles-
Brief Communications-
ACG Clinical Guidelines-
Editorials-
The Red Section-
Video Articles-
Image Articles-
Correspondence-
Continuing Medical Education-
Supplementary Issues",0002-9270,Hepatology,2023,Q1,2023,2.391,2023,3.421
Alimentary Pharmacology and Therapeutics,Wiley-Blackwell Publishing Ltd,207,"Alimentary Pharmacology & Therapeutics (AP&T) is an international journal of gastroenterology and hepatology. The journal accepts original papers and systematic reviews concerned with clinical gastroenterology and hepatology. AP&T is particularly interested in therapies and diagnostics, including all aspects of translation from bench to bedside: identification of novel therapeutic targets, epidemiology, clinical trials, drug safety and meta-analyses. Descriptions of adverse effects (but not case reports) and pharmacoepidemiological and toxicological aspects will also be considered. AP&T only publishes studies performed in human subjects.",0269-2813,Pharmacology (medical),2023,Q1,2023,2.794,2023,2.915
Diabetes Care,American Diabetes Association Inc.,418,"Diabetes Care is a journal for the health care practitioner that is intended to increase knowledge, stimulate research, and promote better management of people with diabetes. To achieve these goals, the journal publishes original research on human studies in the following categories: Clinical Care/Education/Nutrition/Psychosocial Research, Epidemiology/Health Services Research,Emerging Treatments and Technologies, Pathophysiology/Complications, and Cardiovascular and Metabolic Risk. The journal also publishes ADA statements, consensus reports, clinically relevant review articles, letters to the editor, and health/medical news or points of view. Topics covered are of interest to clinically oriented physicians, researchers, epidemiologists, psychologists, diabetes educators, and other health professionals.",0149-5992,Internal Medicine,2023,Q1,2023,5.694,2023,11.206
Movement Disorders,John Wiley & Sons Inc.,229,"Movement Disorders publishes: Reviews; Viewpoints; Full Length Articles; Historical Reports; Brief Reports; and Letters

Original manuscripts, such as those that have not yet been published elsewhere except in abstract form, on the diagnosis, therapeutics, pharmacology, biochemistry, physiology, etiology, genetics, and epidemiology of movement disorders, will be considered for publication.

Appropriate topics include the etiology, diagnosis, management, and basic science of: Parkinsonism; Chorea; Tremors; Dystonia; Myoclonus; Tics; Tardive; Dyskinesia; Spasticity; and Ataxia",0885-3185,Neurology (clinical),2023,Q1,2023,2.464,2023,4.943
Clinical Gastroenterology and Hepatology,W.B. Saunders,208,"The mission of Clinical Gastroenterology and Hepatology (CGH) is to provide readers with a broad spectrum of themes in clinical gastroenterology and hepatology, including the diagnostic, endoscopic, interventional, and therapeutic advances in cancer, inflammatory diseases, functional gastrointestinal disorders, nutrition, absorption, and secretion.",1542-3565,Hepatology,2023,Q1,2023,3.091,2023,5.194
JAMA - Journal of the American Medical Association,American Medical Association,768,"JAMA, published continuously since 1883, is an international peer-reviewed general medical journal. JAMA is a member of the JAMA Network, a consortium of peer-reviewed, general medical and specialty publications.

Journal Reach. JAMA is the most widely circulated general medical journal in the world, with more than 286,000 recipients of the print journal, more than 1.3 million recipients of electronic tables of contents and alerts, and nearly 27 million annual visits to the journal's website. JAMA's reach includes a growing social media presence (more than 785,000 followers on Twitter and Facebook) and vast international news media exposure.",0098-7484,Medicine (miscellaneous),2023,Q1,2023,5.928,2023,7.802
Neurogastroenterology and Motility,Wiley-Blackwell Publishing Ltd,126,"Neurogastroenterology & Motility (NMO) is the official Journal of the European Society of Neurogastroenterology & Motility (ESNM) and the American Neurogastroenterology and Motility Society (ANMS).  It is edited by James Galligan, Albert Bredenoord, and Stephen Vanner. The editorial and peer review process is independent of the societies affiliated to the journal and publisher: Neither the ANMS, the ESNM or the Publisher have editorial decision-making power.  Whenever these are relevant to the content being considered or published, the editors, journal management committee and editorial board declare their interests and affiliations.",1350-1925,Physiology,2023,Q1,2023,1.312,2023,3.370
Food Science and Technology International,SAGE Publications Inc.,72,"Food Science and Technology International (FSTI) is a highly ranked, peer reviewed scholarly journal publishing high-quality articles by leading researchers of food science and technology, covering:

-food processing and engineering-
food safety and preservation-
food biotechnology-
chemical, physical and sensory properties of foods.
Published with additional features such as critical reviews, brief scientific notes, that provide essential information from food scientists throughout the world.",1082-0132,Industrial and Manufacturing Engineering,2023,Q2,2023,0.502,2023,3.051
International Journal of Food Properties,Taylor and Francis Ltd.,80,"The International Journal of Food Properties publishes original research papers devoted to all scientific and applied aspects of food properties. The emphasis is on measurement methods, development of standards, and data on food properties, predictions, and applications. 
The International Journal of Food Properties brings together the widely scattered research in the area of food properties and provides an international forum for scientists and technologists for rapid dissemination of their research results, ideas, and knowledge. Other features include review articles, book reviews, letters to the editor, conference papers, news, and commercial advertisements.",1094-2912,Food Science,2023,Q2,2023,0.654,2023,3.607
European Heart Journal: Acute Cardiovascular Care,Oxford University Press,53,"European Heart Journal: Acute Cardiovascular Care publishes high quality peer-reviewed material, both clinical and scientific, on all aspects of acute cardiac care such as acute coronary syndromes, cardiogenic shock, cardiac arrest, cardiac arrhythmias and acute heart failure.

It offers a unique integrative approach combining the expertise of the different subspecialties of cardiology, emergency and intensive care medicine in the management of patients with acute cardiovascular syndromes. The journal includes articles that discuss interdisciplinary daily clinical practice, with space also dedicated to educational materials such as reviews, clinical case discussions, practical tips & tricks, how-to articles.",2048-8726,Medicine (miscellaneous),2023,Q1,2023,1.523,2023,2.367
Heterocyclic Communications,Walter de Gruyter GmbH,27,"Heterocyclic Communications (HC) is an open-access, peer-reviewed journal publishing preliminary communications, research articles, and reviews on significant developments in all phases of heterocyclic chemistry, including general synthesis, natural products, computational analysis, considerable biological activity and inorganic ring systems. Clear presentation of experimental and computational data is strongly emphasized. Heterocyclic chemistry is a rapidly growing field. By some estimates original research papers in heterocyclic chemistry have increased to more than 60% of the current organic chemistry literature published. This explosive growth is even greater when considering heterocyclic research published in materials science, physical, biophysical, analytical, bioorganic, pharmaceutical, medicinal and natural products journals. There is a need, therefore, for a journal dedicated explicitly to heterocyclic chemistry and the properties of heterocyclic compounds.

Topics
Development of novel synthetic methods
Significant improvement of known synthetic methods
Chemistry of natural products
Superior biological activity of novel heterocyclic compounds, rational design and synthesis of new drug candidates targeting specific biological receptors
Application of heterocyclic compounds as probes for biomolecules in biophysical and bioanalytical chemistry
Development of new substrates and catalysts in materials chemistry.",0793-0283,Organic Chemistry,2023,Q3,2023,0.353,2023,1.514
Animal Production Science,CSIRO,91,"Research papers in Animal Production Science focus on improving livestock and food production, and on the social and economic issues that influence primary producers. The journal (formerly known as Australian Journal of Experimental Agriculture) is predominantly concerned with domesticated animals (beef cattle, dairy cows, sheep, pigs, goats and poultry); however, contributions on horses and wild animals may be published where relevant.

Animal Production Science publishes the highest quality original contributions dealing with:

animal breeding and genetics
animal nutrition and reproduction
livestock farming systems, sustainability and natural resource management
meat science and consumer acceptability
behaviour, health and welfare
feed quality and nutritional value
bio-pharmaceuticals derived from animals.
Critical Reviews, Interdisciplinary Views and Comments
With the scope of Animal Production Science you´ll benefit from exposure to debate from subject specialists from a variety of disciplines, including:

genetic and reproductive biotechnologies for livestock improvement
animal behaviour, health and welfare
dairy science and technology
sustainable production systems
meat science and quality.",1836-0939,Food Science,2023,Q2,2023,0.406,2023,1.408
Journal of Dairy Science,Elsevier Inc.,229,"The official journal of the American Dairy Science Association®, Journal of Dairy Science® (JDS) is the leading peer-reviewed general dairy research journal in the world. JDS readers represent education, industry, and government agencies in more than 70 countries with interests in biochemistry, breeding, economics, engineering, environment, food science, genetics, microbiology, nutrition, pathology, physiology, processing, public health, quality assurance, and sanitation.",0022-0302,Genetics,2023,Q1,2023,1.219,2023,3.935
European Heart Journal - Cardiovascular Pharmacotherapy,Oxford University Press,40,"The European Heart Journal - Cardiovascular Pharmacotherapy (EHJ-CVP) is an international, English language, peer-reviewed journal with a specific focus on clinical cardiovascular pharmacology. It publishes original articles concerning clinical research, with new and established drugs and methods, as well as meta-analysis and topical reviews. The journal aims to improve the pharmacological treatment of patients with cardiovascular disease through interpreting and integrating new scientific developments within this area.

While the focus is on clinical topics, basic research articles from fields such as physiology and molecular biology which contribute to an understanding of cardiovascular drug therapy are also considered, such as articles relevant to new drug development and evaluation, physiological and pharmacological bases of drug action, metabolism, drug interactions and side effects.",2055-6837,Pharmacology (medical),2023,Q1,2023,1.507,2023,3.618
Journal of Agricultural Engineering,Page Press Publications,27,"The Journal of Agricultural Engineering (JAE) is the official journal of the Italian Society of Agricultural Engineering supported by University of Bologna, Italy. The subject matter covers a complete and interdisciplinary range of research in engineering for agriculture and biosystems.",1974-7071,Mechanical Engineering,2023,Q3,2023,0.318,2023,1.711
Journal of Homosexuality,Routledge,90,"The  Journal of Homosexuality is an internationally acclaimed, peer-reviewed publication devoted to publishing a wide variety of disciplinary and interdisciplinary scholarship to foster a thorough understanding of the complexities, nuances, and the multifaceted aspects of sexuality and gender. The chief aim of the journal is to publish thought-provoking scholarship by researchers, community activists, and scholars who employ a range of research methodologies and who offer a variety of perspectives to continue shaping knowledge production in the arenas of lesbian, gay, bisexual, transgender (LGBT) studies and queer studies.
The Journal of Homosexuality is committed to offering substantive, accessible reading to researchers and general readers alike in the hope of: spurring additional research, offering ideas to integrate into educational programs at schools, colleges & universities, or community-based organizations, and manifesting activism against sexual and gender prejudice (e.g., homophobia, biphobia and transphobia), including the promotion of sexual and gender justice.",0091-8369,Social Psychology,2023,Q1,2023,0.963,2023,3.458
Cancer Chemotherapy and Pharmacology,Springer Verlag,122,"Addressing a wide range of pharmacologic and oncologic concerns on both experimental and clinical levels, Cancer Chemotherapy and Pharmacology is an eminent journal in the field. The primary focus in this rapid publication medium is on new anticancer agents, their experimental screening, preclinical toxicology and pharmacology, single and combined drug administration modalities, and clinical phase I, II and III trials. It is essential reading for pharmacologists and oncologists giving results recorded in the following areas: clinical toxicology, pharmacokinetics, pharmacodynamics, drug interactions, and indications for chemotherapy in cancer treatment strategy.",0344-5704,Toxicology,2023,Q1,2023,0.869,2023,2.729
ACS Omega,American Chemical Society,98,"ACS Omega is an open-access global publication for scientific articles that describe new findings in chemistry and interfacing areas of science, without any perceived evaluation of immediate impact.

ACS Omega is a global open-access journal for the publication of scientific articles that describe new findings in chemistry and interfacing areas of science, without any perceived evaluation of immediate impact. Articles in ACS Omega should advance the frontiers of science through original ideas, even if the full significance is not known. ACS Omega disseminates this knowledge globally and quickly by immediately making all accepted articles open access in perpetuity. Papers published in ACS Omega are therefore available to a much wider readership that includes industry, policy institutions, the media and the general public, in addition to the traditional academic sector.",2470-1343,Chemistry (miscellaneous),2023,Q2,2023,0.710,2023,3.753
Chemical Communications,Royal Society of Chemistry,376,"ChemComm is committed to publishing findings on new avenues of research, drawn from all major areas of chemical research, from across the world. Main research areas include (but are not limited to):

Analytical chemistry,
Biomaterials chemistry,
Bioorganic/medicinal chemistry,
Catalysis,
Chemical Biology,
Coordination Chemistry,
Crystal Engineering,
Energy,
Sustainable chemistry,
Green chemistry,
Inorganic chemistry,
Inorganic materials,
Main group chemistry,
Nanoscience,
Organic chemistry,
Organic materials,
Organometallics,
Physical chemistry,
Supramolecular chemistry,
Synthetic methodology,
Theoretical and computational chemistry.",1359-7345,"Surfaces, Coatings and Films",2023,Q1,2023,1.133,2023,4.292
Cell Cycle,Landes Bioscience,170,"Cell Cycle is a bi-weekly peer-reviewed journal of high priority research from all areas of cell biology. Cell Cycle covers all topics from yeast to man, from DNA to function, from development to aging, from stem cells to cell senescence, from metabolism to cell death, from cancer to neurobiology, from molecular biology to therapeutics. Our goal is fast publication of outstanding research.",1538-4101,Molecular Biology,2023,Q2,2023,0.947,2023,3.579
American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,423,"The American Journal of Respiratory and Critical Care Medicine focuses on human biology and disease, as well as animal and in vitro studies that contribute to the understanding of pathophysiology and treatment of diseases that affect the respiratory system and critically ill patients.
Papers that are solely or predominantly based in cell and molecular biology are published in the companion journal, the American Journal of Respiratory Cell and Molecular Biology. The Journal also seeks to publish clinical trials and outstanding review articles on areas of interest in several forms. The State-of-the-Art review is a treatise usually covering a broad field that brings bench research to the bedside. Shorter reviews are published as Critical Care Perspectives or Pulmonary Perspectives. These are generally focused on a more limited area and advance a concerted opinion about care for a specific process. Concise Clinical Reviews provide an evidence-based synthesis of the literature pertaining to topics of fundamental importance to the practice of pulmonary, critical care, and sleep medicine. Images providing advances or unusual contributions to the field are published as Images in Pulmonary, Critical Care, Sleep Medicine and the Sciences.",1073-449X,Pulmonary and Respiratory Medicine,2023,Q1,2023,5.336,2023,5.372
BMC Cell Biology,BioMed Central Ltd,76,"BMC Molecular and Cell Biology, formerly known as BMC Cell Biology, is an open access journal that considers articles on all aspects of both eukaryotic and prokaryotic cell and molecular biology, including structural and functional cell biology, DNA and RNA in a cellular context and biochemistry, as well as research using both the experimental and theoretical aspects of physics to study biological processes and investigations into the structure of biological macromolecules.",1471-2121,Cell Biology,2021,Q3,2021,0.762,2021,0.000
Cell Death and Differentiation,Nature Publishing Group,257,"To devote itself to scientific excellence in the field of cell biology, molecular biology, and biochemistry of cell death and disease.
To provide a unified forum for scientists and clinical researchers.
It is committed to the rapid publication of high quality original papers relating to these subjects, together with topical, usually solicited, reviews, meeting reports, editorial correspondence and occasional commentaries on controversial and scientifically informative issues.",1350-9047,Molecular Biology,2023,Q1,2023,4.102,2023,12.606
Blood,Elsevier B.V.,525,"Blood, the official journal of the American Society of Hematology, published online and in print, provides an international forum for the publication of original articles describing basic laboratory, translational, and clinical investigations in hematology. Acceptance of manuscripts is based on the originality and importance of the observations or investigations, the quality of the work and validity of the evidence, the clarity of presentation, and the relevance to our readership and field. All articles are expected to be concise, well organized and clearly written. Authors submit a manuscript with the understanding that the manuscript (or its essential substance) has not been published other than as an abstract in any language or format and is not currently submitted elsewhere for print or electronic publication.

Primary research articles will be published under the following scientific categories: Clinical Trials and Observations; Gene Therapy; Hematopoiesis and Stem Cells; Immunobiology and Immunotherapy scope; Myeloid Neoplasia; Lymphoid Neoplasia; Phagocytes, Granulocytes and Myelopoiesis; Platelets and Thrombopoiesis; Red Cells, Iron and Erythropoiesis; Thrombosis and Hemostasis; Transfusion Medicine; Transplantation; and Vascular Biology. Papers can be listed under more than one category as appropriate. Authors are invited to contact the Editor-in-Chief prior to submission if they are uncertain whether their work falls within the general scope of the journal.",0006-4971,Immunology,2023,Q1,2023,5.272,2023,7.406
British Journal of Cancer,Nature Publishing Group,272,"The British Journal of Cancer is one of the most-cited general cancer journals, publishing significant advances in translational and clinical cancer research. It also publishes high-quality reviews and thought-provoking comment on all aspects of cancer prevention,diagnosis and treatment.",0007-0920,Oncology,2023,Q1,2023,3.000,2023,7.277
BMC Clinical Pathology,BioMed Central Ltd,41,Cessation. Information not localized.,1472-6890,Pathology and Forensic Medicine,2022,Q1,2022,1.224,2022,0.000
Lung Cancer,Elsevier Ireland Ltd,148,"Lung Cancer is an international publication covering the clinical, translational and basic science of malignancies of the lung and chest region.Original research articles, early reports, review articles, editorials and correspondence covering the prevention, epidemiology and etiology, basic biology, pathology, clinical assessment, surgery, chemotherapy, radiotherapy, combined treatment modalities, other treatment modalities and outcomes of lung cancer are welcome.",0169-5002,Pulmonary and Respiratory Medicine,2023,Q1,2023,1.761,2023,4.161
Frontiers in Immunology,Frontiers Media SA,225,"Frontiers in Immunology is a leading journal in its field, publishing rigorously peer-reviewed research across basic, translational and clinical immunology. Field Chief Editor Luigi Daniele Notarangelo is supported by an outstanding Editorial Board of international researchers. This multidisciplinary open-access journal is at the forefront of disseminating and communicating scientific knowledge and impactful discoveries to researchers, academics, clinicians and the public worldwide.

Frontiers in Immunology is the official Journal of the International Union of Immunological Societies (IUIS). Encompassing the entire field of Immunology, this journal welcomes papers that investigate basic mechanisms of immune system development and function, with a particular emphasis given to the description of the clinical and immunological phenotype of human immune disorders, and on the definition of their molecular basis.",1664-3224,Immunology and Allergy,2023,Q1,2023,1.868,2023,5.618
Journal of Immunology,American Association of Immunologists,412,"The Journal of Immunology (The JI) publishes novel, peer-reviewed findings in all areas of experimental immunology, including innate and adaptive immunity, inflammation, host defense, clinical immunology, autoimmunity and more.",0022-1767,Immunology and Allergy,2023,Q1,2023,1.558,2023,3.267
Journal of Hematology and Oncology,BioMed Central Ltd,144,"Journal of Hematology & Oncology is an open access journal that publishes top-quality research encompassing all aspects of hematology and oncology. The journal also publishes reviews and research highlights on ""hot topics"" from leading experts in the field.

Hematology and oncology are closely intertwined and rapidly evolving fields. More physician scientists performing laboratory-based research are rapidly bringing research in hematology and oncology from bench to bedside. Journal of Hematology & Oncology aims to meet the demand for a journal dedicated to publishing discovery from both of these fields.",1756-8722,Oncology,2023,Q1,2023,7.522,2023,20.834
Journal of Crohn's and Colitis,Oxford University Press,114,"Journal of Crohn's and Colitis is concerned with the dissemination of knowledge on clinical, basic science and innovative methods related to inflammatory bowel diseases. The journal publishes original articles, review papers, editorials, leading articles, viewpoints, case reports, innovative methods and letters to the editor.",1873-9946,Medicine (miscellaneous),2023,Q1,2023,2.705,2023,6.461
Synthesis,Georg Thieme Verlag,155,"SYNTHESIS is an international full-paper journal devoted to the advancement of the science of chemical synthesis. It covers all fields of organic chemistry involving synthesis, including catalysis, organometallic, medicinal, biological, and photochemistry, but also related disciplines. SYNTHESIS provides dependable research results with detailed and reliable experimental procedures and full characterization of all important new products as well as scientific primary data.",0039-7881,Organic Chemistry,2023,Q2,2023,0.582,2023,2.038
Journal of Clinical Investigation,The American Society for Clinical Investigation,544,"The JCI reaches readers across a wide range of medical disciplines and sectors. The journal publishes basic and phase I/II clinical research submissions in all biomedical specialties, including Autoimmunity, Gastroenterology, Immunology, Metabolism, Nephrology, Neuroscience, Oncology, Pulmonology, Vascular Biology, and many others.",0021-9738,Medicine (miscellaneous),2023,Q1,2023,4.833,2023,9.954
American Journal of Transplantation,Elsevier B.V.,220,"The scope is the international discipline of transplantation. This includes organ and tissue donation and preservation; tissue injury, repair, inflammation, and aging; immune recognition, regulation, effector mechanisms, and opportunities for induction of tolerance; histocompatibility; drugs and pharmacology relevant to transplantation; graft survival and prevention of graft dysfunction and failure; clinical trials and population analyses; transplant complications; xenotransplantation; and ethical and societal issues. The sciences includes relevant aspects of cell biology, medicine, surgery, pediatrics, and infectious diseases. The journal includes thoracic transplantation (heart, lung), abdominal transplantation (kidney, liver, pancreas, islets), transplantation of tissues and related topics.",1600-6135,Transplantation,2023,Q1,2023,2.688,2023,5.256
Clinical and Experimental Allergy,Wiley-Blackwell Publishing Ltd,171,"Clinical & Experimental Allergy strikes an excellent balance between clinical and scientific articles and carries regular reviews and editorials written by leading authorities in their field.

In response to the increasing number of quality submissions, since 1996 the journals size has increased by over 30%. Clinical & Experimental Allergy is essential reading for allergy practitioners and research scientists with an interest in allergic diseases and mechanisms. Truly international in appeal, Clinical & Experimental Allergy publishes clinical and experimental observations in disease in all fields of medicine in which allergic hypersensitivity plays a part.",0954-7894,Immunology and Allergy,2023,Q2,2023,1.290,2023,3.254
